name,calories,protein,fat,sodium,fiber,carbo,sugars,potass
100% Bran,70,4,1,130,10,5,6,280
100% Natural Bran,120,3,5,15,2,8,8,135
All-Bran,70,4,1,260,9,7,5,320
All-Bran with Extra Fiber,50,4,0,140,14,8,0,330
Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,70
Apple Jacks,110,2,0,125,1,11,14,30
Basic 4,130,3,2,210,2,18,8,100
Bran Chex,90,2,1,200,4,15,6,125
Bran Flakes,90,3,0,210,5,13,5,190
Cap'n'Crunch,120,1,2,220,0,12,12,35
Cheerios,110,6,2,290,2,17,1,105
Cinnamon Toast Crunch,120,1,3,210,0,13,9,45
Clusters,110,3,2,140,2,13,7,105
Cocoa Puffs,110,1,1,180,0,12,13,55
Corn Chex,110,2,0,280,0,22,3,25
Corn Flakes,100,2,0,290,1,21,2,35
Corn Pops,110,1,0,90,1,13,12,20
Count Chocula,110,1,1,180,0,12,13,65
Cracklin' Oat Bran,110,3,3,140,4,10,7,160
Crispix,110,2,0,220,1,21,3,30
Crispy Wheat & Raisins,100,2,1,140,2,11,10,120
Double Chex,100,2,0,190,1,18,5,80
Froot Loops,110,2,1,125,1,11,13,30
Frosted Flakes,110,1,0,200,1,14,11,25
Frosted Mini-Wheats,100,3,0,0,3,14,7,100
Fruit & Fibre Dates Walnuts and Oats,120,3,2,160,5,12,10,200
Fruitful Bran,120,3,0,240,5,14,12,190
Fruity Pebbles,110,1,1,135,0,13,12,25
Golden Crisp,100,2,0,45,0,11,15,40
Golden Grahams,110,1,1,280,0,15,9,45
Grape Nuts Flakes,100,3,1,140,3,15,5,85
Grape-Nuts,110,3,0,170,3,17,3,90
Great Grains Pecan,120,3,3,75,3,13,4,100
Honey Graham Ohs,120,1,2,220,1,12,11,45
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,90
Honey-comb,110,1,0,180,0,14,11,35
Just Right Crunchy  Nuggets,110,2,1,170,1,17,6,60
Just Right Fruit & Nut,140,3,1,170,2,20,9,95
Kix,110,2,1,260,0,21,3,40
Life,100,4,2,150,2,12,6,95
Lucky Charms,110,2,1,180,0,12,12,55
Maypo,100,4,1,0,0,16,3,95
Muesli Raisins Dates & Almonds,150,4,3,95,3,16,11,170
Muesli Raisins Peaches & Pecans,150,4,3,150,3,16,11,170
Mueslix Crispy Blend,160,3,2,150,3,17,13,160
Multi-Grain Cheerios,100,2,1,220,2,15,6,90
Nut&Honey Crunch,120,2,1,190,0,15,9,40
Nutri-Grain Almond-Raisin,140,3,2,220,3,21,7,130
Nutri-grain Wheat,90,3,0,170,3,18,2,90
Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,120
Post Nat. Raisin Bran,120,3,1,200,6,11,14,260
Product 19,100,3,0,320,1,20,3,45
Puffed Rice,50,1,0,0,0,13,0,15
Puffed Wheat,50,2,0,0,1,10,0,50
Quaker Oat Squares,100,4,1,135,2,14,6,110
Raisin Bran,120,3,1,210,5,14,12,240
Raisin Nut Bran,100,3,2,140,2.5,10.5,8,140
Raisin Squares,90,2,0,0,2,15,6,110
Rice Chex,110,1,0,240,0,23,2,30
Rice Krispies,110,2,0,290,0,22,3,35
Shredded Wheat,80,2,0,0,3,16,0,95
Shredded Wheat 'n'Bran,90,3,0,0,4,19,0,140
Shredded Wheat spoon size,90,3,0,0,3,20,0,120
Smacks,110,2,1,70,1,9,15,40
Special K,110,6,0,230,1,16,3,55
Strawberry Fruit Wheats,90,2,0,15,3,15,5,90
Total Corn Flakes,110,2,1,200,0,21,3,35
Total Raisin Bran,140,3,1,190,4,15,14,230
Total Whole Grain,100,3,1,200,3,16,3,110
Triples,110,2,1,250,0,21,3,60
Trix,110,1,1,140,0,13,12,25
Wheat Chex,100,3,1,230,3,17,3,115
Wheaties,100,3,1,200,3,17,3,110
Wheaties Honey Gold,110,2,1,200,1,16,8,60
