State,obesity,mcDonaldsPerCapitaScaled
Alabama,28.9,4.5662100456621
Alaska,23.7,4.02985074626866
Arizona,21.2,3.43820953616607
Arkansas,26.1,4.51796513696194
California,22.2,3.19545778704262
Colorado,16.8,3.80812118661898
Connecticut,19.7,4.07988587731812
Delaware,21.1,3.98593200468933
Florida,22.9,4.02432283029298
Georgia,24.7,3.89790687740282
Hawaii,20.1,5.91439688715953
Idaho,20.8,3.4106412005457
Illinois,23,5.04208229426434
Indiana,25.5,5.16312955337346
Iowa,23.5,4.39302481556003
Kansas,23.2,5.31837916063676
Kentucky,25.8,5.25439847836424
Louisiana,27,5.2705223880597
Maine,23.4,4.38729198184569
Maryland,23.9,4.98575498575499
Massachusetts,18.4,3.86826161255243
Michigan,25.4,5.39817749603804
Minnesota,22.6,3.92877878846526
Mississippi,29.5,4.25970456887667
Missouri,24.9,5.11723429744994
Montana,19.7,4.33862433862434
Nebraska,23.2,4.0158371040724
Nevada,21.1,5.12820512820513
New Hampshire,21.6,4.7148288973384
New Jersey,21.9,2.99140401146132
New Mexico,21.5,4.0920716112532
New York,22.1,3.39272764943541
North Carolina,24.2,4.22264875239923
North Dakota,24.6,3.45911949685535
Ohio,25.3,5.36678863913574
Oklahoma,24.9,4.33081866443141
Oregon,21.2,4.10699810861929
Pennsylvania,24.3,3.99485571899365
Rhode Island,19,3.27715355805243
South Carolina,25.1,4.16570238370748
South Dakota,23.8,3.70843989769821
Tennessee,27.2,4.71932439145554
Texas,25.8,3.54772843287392
Utah,20.4,3.49019607843137
Vermont,18.7,4.6474358974359
Virginia,23.1,4.99803741986131
Washington,22.2,3.92432770481551
West Virginia,27.6,4.95049504950495
Wisconsin,23.2,5.12866654669786
Wyoming,20.8,4.66019417475728
